id,type,name,url,structure_name,opening,city,province,address,number,lat,lng,status
61414,"Welcome Room","Casalborsetti - Welcome Room",https://maps.app.goo.gl/SiMkdxS7XwukWFLi8,,,Ravenna,Ravenna,,,"44,5531273","12,2786582",Pubblico
61415,"Welcome Room","Lido Adriano - Welcome Room",https://maps.app.goo.gl/m8eD5SAiHGUV8SQv6,,,Ravenna,Ravenna,,,"44,4107746","12,3096596",Pubblico
61416,"IAT R","Ravenna - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/QiaN9ReiXNp9Re699,,,Ravenna,Ravenna,,,"44,4156463","12,1977146",Pubblico
61417,"IAT Mobile","Lido di Classe - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/NRWztQL2ci6gNwTVA,,"Da giugno a settembre",Ravenna,Ravenna,,,"44,325718","12,3343872",Pubblico
61418,"IAT Mobile","Lido di Dante - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/sq1BFcqu8Sds7m5k6,,"Da giugno a settembre",Ravenna,Ravenna,,,"44,3876478","12,3134094",Pubblico
61419,"IAT Mobile","Lido di Savio - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/C9BPbq9TCPmucuvZA,,"Da giugno a settembre",Ravenna,Ravenna,,,"44,3075638","12,3419013",Pubblico
61420,"IAT Mobile","Marina di Ravenna - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/SQsbetnsNaupkVTH9,,"Da giugno a settembre",Ravenna,Ravenna,,,"44,4851906","12,2765724",Pubblico
61421,"IAT Mobile","Marina Romea - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/wWfvysVnrKMR9WW97,,"Da giugno a settembre",Ravenna,Ravenna,,,"44,5150314","12,2707634",Pubblico
61422,"IAT Mobile","Porto Corsini - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/dsWGFExmH9JvFaFX9,,"Da giugno a settembre",Ravenna,Ravenna,,,"44,4938703","12,2758361",Pubblico
61423,"IAT Mobile","Punta Marina Terme - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/9ynv5p4W4niz1cf79,,"Da giugno a settembre",Ravenna,Ravenna,,,"44,4415582","12,2925522",Pubblico
61424,IAT,"Riolo Terme - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/95rLi389A9GaEksKA,,,"Riolo Terme",Ravenna,,,"44,2756954","11,7215601",Pubblico
61426,IAT,"Bellaria Igea Marina - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/BjdYA4MkNbjPspQ26,,,"Bellaria-Igea Marina",Rimini,,,"44,150265","12,4418585",Pubblico
61427,"IAT Mobile","Cattolica - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/HpVFjgHcgkvCgckw8,,"Da giugno a settembre",Cattolica,Rimini,,,"43,9670599","12,7398493",Pubblico
61428,IAT,"Cattolica - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/xZgBTA23D7vB5eFV9,,,Cattolica,Rimini,,,"43,9540533","12,7370208",Pubblico
61429,"Welcome Room","Gemmano - Welcome Room",https://maps.app.goo.gl/1YF9B6Rnmd1PctZJ7,,,Gemmano,Rimini,,,"43,8730506","12,5433516",Pubblico
61430,"IAT R","Misano Adriatico - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/TsZdhJaFr7WgwjZG8,,,"Misano Adriatico",Rimini,,,"43,9787073","12,6976279",Pubblico
61431,"Welcome Room","Mondaino - Welcome Room",https://maps.app.goo.gl/YoDcLZUPzw4RdRDs8,,,Mondaino,Rimini,,,"43,8559875","12,6688697",Pubblico
61432,"Welcome Room","Montefiore Conca - Welcome Room",https://maps.app.goo.gl/vVK6dALJyVaX8uuG7,,,"Montefiore Conca",Rimini,,,"43,8909781","12,609055",Pubblico
61433,"Welcome Room","Montegridolfo - Welcome Room",https://maps.app.goo.gl/cciqdyK1gYC3udvB9,,,Montegridolfo,Rimini,,,"43,8587397","12,6870478",Pubblico
61435,"Welcome Room","Pennabilli - Welcome Room",https://maps.app.goo.gl/gd5A3HL57KkY8UQb8,,,Pennabilli,Rimini,,,"43,8168234","12,2626722",Pubblico
61436,"IAT R","Riccione - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/CgDdemugKvzPzBHo8,,,Riccione,Rimini,,,"44,0026187","12,6546919",Pubblico
61437,"Welcome Room","Rimini centro - Welcome Room",https://maps.app.goo.gl/BespVDQm54zLcf6V7,,,Rimini,Rimini,,,"44,0613767","12,5635482",Pubblico
